qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
132a5430085d11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3176,0.5,148.0,1.0,1.0
08e7eb340bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1972,0.5,142.0,0.5,0.0
91ec5b380bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2432,0.5,148.0,0.5,0.0
bf5c81fa0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2759,0.5,145.0,0.5,0.0
cf9a08f608c911ebbd92ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3585,0.5,159.0,0.5,0.0
0e5e54c908c211ebbd8bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7468,1.0,158.0,1.0,1.0
af1ee605093511ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2308,1.0,143.0,1.0,1.0
3e0cebde0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1772,0.5,158.0,0.5,0.0
0518615a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5436,0.5,149.0,1.0,1.0
3d22de280bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.2569,0.5,144.0,0.5,0.0
b6afbad60bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3462,0.5,156.0,1.0,1.0
0b91d3200bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2453,0.5,159.0,0.5,0.0
1621c01108f011ebbda8ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.7153,1.0,137.0,1.0,1.0
8b5f752e0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0764,0.5,157.0,0.5,0.0
5e02b99208b811ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4125,0.5,160.0,0.5,0.0
a809d3720bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3721,0.5,129.0,0.5,0.0
ade9a5980baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,159.0,1.0,1.0
8012a1e008af11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6,0.5,145.0,0.5,0.0
d19a4bb80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1837,0.5,147.0,0.5,0.0
b6b306fa0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4214,0.5,159.0,0.5,0.0
d71f453b085811ebbd5bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7248,0.5,149.0,0.5,0.0
2de71a8a0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5759,0.5,158.0,0.5,0.0
cee7790e08cc11ebbd93ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7405,0.5,131.0,0.5,0.0
623ea4080bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,139.0,0.5,0.0
8d9bf1c80bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.0,0.0,130.0,0.5,0.0
572c3827088311ebbd6dac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6174,0.5,149.0,0.5,0.0
b1e64cc60bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3856,0.5,153.0,1.0,1.0
0b9a520108c211ebbd8bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.7688,0.5,160.0,0.5,0.0
04e9521d088b11ebbd6fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5797,1.0,138.0,1.0,1.0
8522d9b2092011ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5385,1.0,143.0,1.0,1.0
ec697d900bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3774,0.5,159.0,0.5,0.0
950bd11a090f11ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5714,1.0,154.0,1.0,1.0
c1b9c0ac0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.125,0.5,160.0,0.5,0.0
d2c47e1008df11ebbda1ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2905,0.5,148.0,0.5,0.0
7b2bf8fc0bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5253,0.5,158.0,1.0,1.0
b5ccab240bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4286,0.5,147.0,0.5,0.0
6a70f6f80bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3028,0.5,142.0,0.5,0.0
1f9e4658084f11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3671,0.25,158.0,0.5,0.0
5caef2f8096411ebbdafac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5433,1.0,127.0,1.0,1.0
b081e08408e111ebbda3ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5325,0.5,154.0,0.5,0.0
f113f24e08ad11ebbd83ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4733,0.75,150.0,0.75,0.0
a6d397ea0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2949,0.5,156.0,0.5,0.0
04a065a60bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,158.0,0.5,0.0
534fbfd00bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2642,0.5,159.0,1.0,1.0
286461f808ba11ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1382,0.5,152.0,1.0,1.0
2fa40dae0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1419,0.5,148.0,0.5,0.0
a19ca5c80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3816,0.5,152.0,0.5,0.0
6a807fc40bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.3291,0.5,158.0,0.5,0.0
