qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__847433_11402,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.7152,0.5,151.0,1.0,1.0
2hop__208602_11402,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,129.0,0.5,0.0
2hop__567471_123283,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2658,0.5,158.0,0.5,0.0
2hop__574496_123283,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,160.0,0.0,0.0
2hop__8347_8311,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.375,1.0,160.0,1.0,1.0
2hop__71034_343058,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3864,0.5,132.0,0.5,0.0
2hop__109131_343058,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2778,0.5,144.0,0.5,0.0
2hop__56851_343058,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.6777,0.5,121.0,0.5,0.0
2hop__14092_8311,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.5,0.0
2hop__422295_8311,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3806,0.5,155.0,0.5,0.0
2hop__176712_8311,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.8067,1.0,150.0,1.0,1.0
2hop__159741_161674,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,154.0,0.5,0.0
2hop__159741_40169,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.4595,0.5,148.0,0.5,0.0
2hop__88906_55840,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.0,0.0,131.0,0.5,0.0
2hop__71755_463572,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.0,0.0,148.0,0.0,0.0
2hop__67956_463572,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.0,0.0,135.0,0.0,0.0
2hop__398344_85513,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2028,0.5,143.0,0.5,0.0
2hop__42578_55840,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.0,0.0,121.0,0.5,0.0
2hop__28203_55840,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,121.0,0.5,0.0
2hop__64323_55840,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.0,0.0,149.0,1.0,1.0
2hop__85713_84469,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3563,0.5,160.0,0.5,0.0
2hop__79875_84469,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
2hop__79875_72187,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2893,0.5,159.0,0.5,0.0
2hop__85713_72187,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.5,0.0
2hop__204146_850295,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.5062,0.5,160.0,0.5,0.0
2hop__28287_89399,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,160.0,0.5,0.0
2hop__84103_345851,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.5,0.0
2hop__142621_225454,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.5,0.2635,0.5,148.0,0.5,0.0
2hop__86689_728109,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
2hop__38828_89399,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,154.0,0.5,0.0
2hop__587048_621800,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2245,0.5,147.0,0.5,0.0
2hop__86458_20273,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3875,1.0,160.0,1.0,1.0
2hop__609313_20273,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4938,1.0,160.0,1.0,1.0
2hop__799936_20273,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.2566,0.5,152.0,0.5,0.0
2hop__13986_161674,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.5,0.0
2hop__433694_20273,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.3333,0.5,156.0,0.5,0.0
2hop__13986_40169,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.5,0.0
2hop__25344_88628,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.75,0.0,0.0,154.0,0.0,0.0
2hop__657913_88628,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.2177,0.5,147.0,0.5,0.0
2hop__734057_88628,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.625,1.0,160.0,1.0,1.0
2hop__95878_88628,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.0,0.0,154.0,0.5,0.0
2hop__726892_131968,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,160.0,0.5,0.0
2hop__693157_131890,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0
2hop__611178_131968,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.4497,0.5,149.0,1.0,1.0
