qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
61e86d5a0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,138.0,0.5,0.0
d05cc8bf08c911ebbd92ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5325,0.5,154.0,0.5,0.0
408a8365085311ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1128,0.25,133.0,0.25,0.0
eb18f7ac0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,134.0,0.5,0.0
0290cd840baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4177,1.0,158.0,1.0,1.0
6ff41ad6087411ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5319,1.0,141.0,1.0,1.0
05dac2220bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6601,1.0,153.0,1.0,1.0
b1bb441b08e411ebbda4ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2536,0.5,138.0,1.0,1.0
132a5430085d11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2975,0.5,158.0,1.0,1.0
a664606d087e11ebbd6bac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4194,0.5,155.0,0.5,0.0
eec1dcfb08b911ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.558,0.5,138.0,0.5,0.0
bc90ed3208a211ebbd7bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.54,0.5,150.0,0.5,0.0
32c37ce40bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3289,0.5,149.0,0.5,0.0
0163c020087511ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6623,0.5,154.0,0.5,0.0
56d2ffcd08d811ebbd9aac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.465,0.25,157.0,0.5,0.0
dd5d3c540bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1745,0.5,149.0,0.5,0.0
21d392780bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2519,0.5,135.0,0.5,0.0
ac2e1b900bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1961,0.5,153.0,0.5,0.0
95fc614a0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2786,0.5,140.0,0.5,0.0
7a01a52a089c11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4276,0.5,152.0,0.5,0.0
402d63d00bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2038,0.5,157.0,0.5,0.0
a5e6e806084911ebbd55ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.45,0.5,140.0,0.5,0.0
7019886b093511ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5294,1.0,153.0,1.0,1.0
05ca361608a511ebbd7dac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.1556,0.5,135.0,1.0,1.0
227adf2c086c11ebbd60ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5723,0.5,159.0,0.5,0.0
35e09904086b11ebbd5fac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3375,0.5,160.0,0.5,0.0
cf357f9008cf11ebbd95ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6414,1.0,145.0,1.0,1.0
9b59e0500baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2812,0.5,160.0,0.5,0.0
c226acb1087e11ebbd6bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1056,0.25,142.0,0.5,0.0
e5d416220bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3521,0.5,142.0,1.0,1.0
97d4622f089f11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2949,0.5,156.0,1.0,1.0
f36fd8e208b911ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4267,1.0,150.0,1.0,1.0
e1cfab340bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2431,0.5,144.0,0.5,0.0
51b179a20bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.5,152.0,0.5,0.0
3f0a5317085d11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4348,0.5,138.0,0.5,0.0
62a9691e0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6169,1.0,154.0,1.0,1.0
f329c007089011ebbd72ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4183,0.5,153.0,0.5,0.0
66ce82ec0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2452,0.5,155.0,0.5,0.0
6605282808b811ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.6352,0.5,159.0,0.5,0.0
1865e1e40bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,141.0,0.5,0.0
f0cba8e408cc11ebbd93ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2917,0.5,144.0,0.5,0.0
5b542d2c0bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1479,0.5,142.0,0.5,0.0
b6ad2a6e0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.293,0.5,157.0,0.5,0.0
09945977084d11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6474,1.0,156.0,1.0,1.0
f52b28400bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.8,0.0,0.2653,0.5,147.0,1.0,1.0
b01239cf086311ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2908,0.5,141.0,1.0,1.0
1f5901840bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2374,0.5,139.0,0.5,0.0
2f1729d608c911ebbd92ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3185,0.5,157.0,0.5,0.0
fbc3b82c0bae11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.1214,0.5,140.0,0.5,0.0
fd68c8f6085311ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4103,1.0,156.0,1.0,1.0
c240018708a311ebbd7cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.3624,0.5,149.0,1.0,1.0
0628ed440bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.6792,1.0,159.0,1.0,1.0
54b3c3a60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1699,0.5,153.0,0.5,0.0
bbccb00a08c211ebbd8cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0857,0.25,140.0,0.25,0.0
e67fed800bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4605,0.5,152.0,1.0,1.0
ace961ec0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
0f1f491c088611ebbd6dac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.461,1.0,141.0,1.0,1.0
e6998c7e08de11ebbd9fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3169,0.5,142.0,0.5,0.0
183402b6086511ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3357,0.25,143.0,0.5,0.0
f5e7f8f80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4268,0.5,157.0,0.5,0.0
d4a90752086a11ebbd5fac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4058,1.0,138.0,1.0,1.0
507b477408d811ebbd9aac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.4408,0.5,152.0,1.0,1.0
6e2336660bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,1.0,1.0
9b1655a108e511ebbda4ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3013,1.0,156.0,1.0,1.0
553ff092097f11ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.1795,1.0,156.0,1.0,1.0
6f0bdd140bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3007,0.5,153.0,0.5,0.0
2f3b107c0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6,0.5,135.0,0.5,0.0
462bb642099211ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3557,1.0,149.0,1.0,1.0
fc28c2e80bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2692,0.5,156.0,0.5,0.0
3889ebc80bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2129,0.5,155.0,0.5,0.0
ce0a4f9408eb11ebbda7ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8931,1.0,159.0,1.0,1.0
3ed396b0087f11ebbd6bac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.7812,0.5,160.0,0.5,0.0
7e3574e8093c11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.0,0.0,160.0,0.5,0.0
80c2cafa08d911ebbd9cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3063,0.5,160.0,0.5,0.0
bc702d440baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3608,0.5,158.0,0.5,0.0
56f73ba60baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.52,1.0,150.0,1.0,1.0
6dd2e77a0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,0.5,0.0
5fdf9c8008b311ebbd86ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4894,1.0,141.0,1.0,1.0
65884aca0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.4615,0.0,0.4519,0.5,135.0,0.5,0.0
416e88500bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3141,0.5,156.0,0.5,0.0
e715b66708be11ebbd8aac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.162,0.5,142.0,0.5,0.0
41edeed3085b11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4452,1.0,155.0,1.0,1.0
a346f150089811ebbd77ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.4859,0.25,142.0,0.75,0.0
600eac52085c11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1083,0.25,157.0,0.5,0.0
6f7115240bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1631,0.5,141.0,0.5,0.0
c1b112a00baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4638,0.5,138.0,0.5,0.0
